season,team,oc
2018,ARI,Mike McCoy
2018,ATL,Steve Sarkisian
2018,BAL,Marty Mornhinweg
2018,BUF,Brian Daboll
2018,CAR,Norv Turner
2018,CHI,Mark Helfrich
2018,CIN,Bill Lazor
2018,CLE,Todd Haley
2018,DAL,Scott Linehan
2018,DEN,Bill Musgrave
2018,DET,Jim Bob Cooter
2018,IND,Nick Sirianni
2018,JAX,Nathaniel Hackett
2018,KC,Eric Bieniemy
2018,LAC,Ken Whisenhunt
2018,LV,Greg Olson
2018,MIA,Dowell Loggains
2018,NO,Pete Carmichael Jr.
2018,PHI,Mike Groh
2018,SEA,Brian Schottenheimer
2018,TB,Todd Monken
2019,DAL,Kellen Moore
2019,DEN,Rich Scangarello
2019,DET,Darrell Bevell
2019,GB,Nathaniel Hackett
2019,HOU,Tim Kelly
2019,IND,Nick Sirianni
2019,JAX,John DeFilippo
2019,KC,Eric Bieniemy
2019,SEA,Brian Schottenheimer
2019,TB,Byron Leftwich
2019,TEN,Arthur Smith
2019,WAS,Kevin O'Connell
2020,ATL,Dirk Koetter
2020,BAL,Greg Roman
2020,BUF,Brian Daboll
2020,CAR,Joe Brady
2020,KC,Eric Bieniemy
2020,LAC,Shane Steichen
2020,LA,Kevin O'Connell
2020,LV,Greg Olson
2020,MIA,Chan Gailey
2020,NE,Josh McDaniels
2020,NO,Pete Carmichael Jr.
2020,NYG,Jason Garrett
2021,BUF,Brian Daboll
2021,CAR,Joe Brady
2021,CHI,Bill Lazor
2021,CIN,Brian Callahan
2021,CLE,Alex Van Pelt
2021,DAL,Kellen Moore
2021,DEN,Pat Shurmur
2021,DET,Anthony Lynn
2021,GB,Nathaniel Hackett
2021,HOU,Tim Kelly
2021,LAC,Joe Lombardi
2021,LA,Kevin O'Connell
2021,LV,Greg Olson
2021,MIN,Klint Kubiak
2021,NO,Pete Carmichael Jr.
2021,NYG,Jason Garrett
2021,NYJ,Mike LaFleur
2021,PHI,Shane Steichen
2022,ATL,Dave Ragone
2022,BAL,Greg Roman
2022,BUF,Ken Dorsey
2022,CAR,Ben McAdoo
2022,CHI,Luke Getsy
2022,CIN,Brian Callahan
2022,CLE,Alex Van Pelt
2022,DAL,Kellen Moore
2022,DEN,Justin Outten
2022,DET,Ben Johnson
2022,MIN,Wes Phillips
2022,NO,Pete Carmichael Jr.
2022,NYG,Mike Kafka
2022,NYJ,Mike LaFleur
2022,PHI,Shane Steichen
2022,PIT,Matt Canada
2022,SEA,Shane Waldron
2022,TB,Byron Leftwich
2023,DAL,Brian Schottenheimer
2023,DEN,Joe Lombardi
2023,DET,Ben Johnson
2023,GB,Adam Stenavich
2023,HOU,Bobby Slowik
2023,IND,Jim Bob Cooter
2023,JAX,Press Taylor
2023,KC,Matt Nagy
2023,LAC,Kellen Moore
2023,LA,Mike LaFleur
2023,TB,Dave Canales
2023,TEN,Tim Kelly
2024,ARI,Drew Petzing
2024,ATL,Zac Robinson
2024,BAL,Todd Monken
2024,BUF,Joe Brady
2024,CAR,Brad Idzik
2024,CHI,Shane Waldron
2024,LAC,Greg Roman
2024,LA,Mike LaFleur
2024,LV,Luke Getsy
2024,MIA,Frank Smith
2024,MIN,Wes Phillips
2024,NE,Alex Van Pelt
2024,NO,Klint Kubiak
2024,NYJ,Nathaniel Hackett
2024,PHI,Kellen Moore
2025,BUF,Joe Brady
2025,CAR,Brad Idzik
2025,CHI,Declan Doyle
2025,CIN,Dan Pitcher
2025,CLE,Tommy Rees
2025,DAL,Klayton Adams
2025,DEN,Joe Lombardi
2025,DET,John Morton
2025,GB,Adam Stenavich
2025,HOU,Nick Caley
2025,NYJ,Tanner Engstrand
2025,PHI,Kevin Patullo
2025,PIT,Arthur Smith
2025,SEA,Klint Kubiak
2025,SF,Klay Kubiak
2025,TB,Josh Grizzard
2025,TEN,Nick Holz
2025,WAS,Kliff Kingsbury
2026,BUF,Pete Carmichael Jr.
2026,MIA,Bobby Slowik
2026,NE,Josh McDaniels
2026,NYJ,Frank Reich
2026,BAL,Declan Doyle
2026,CIN,Dan Pitcher
2026,CLE,Travis Switzer
2026,PIT,Brian Angelichio
2026,IND,Jim Bob Cooter
2026,JAX,Grant Udinski
2026,TEN,Brian Daboll
2026,DEN,Davis Webb
2026,KC,Eric Bieniemy
2026,LV,Andrew Janocko
2026,LAC,Mike McDaniel
2026,DAL,Klayton Adams
2026,NYG,Matt Nagy
2026,PHI,Sean Mannion
2026,WAS,David Blough
2026,CHI,Press Taylor
2026,DET,Drew Petzing
2026,GB,Adam Stenavich
2026,MIN,Wes Phillips
2026,ATL,Tommy Rees
2026,CAR,Brad Idzik
2026,NO,Doug Nussmeier
2026,TB,Zac Robinson
2026,ARI,Nathaniel Hackett
2026,LA,Nathan Scheelhaase
2026,SF,Klay Kubiak
2026,SEA,Brian Fleury
