player_name,team,market,line,over_odds,under_odds,book,source
Jalen Hurts,PHI,pass_yd,3249.5,-110,-110,DraftKings,fta
Drake Maye,NE,pass_yd,3799.5,-120,100,DraftKings,fta
Justin Herbert,LAC,pass_td,24.5,-115,-105,DraftKings,fta
Jared Goff,DET,pass_td,29.5,-115,-105,DraftKings,fta
Josh Allen,BUF,pass_td,24.5,-110,-110,consensus,sharp
Fernando Mendoza,IND,pass_yd,2299.5,-115,-105,consensus,sharp
Drake Maye,NE,rush_yd,424.5,-110,-110,DraftKings,fta
Jaxson Dart,NYG,rush_yd,449.5,-110,-110,DraftKings,fta
Jonathan Taylor,IND,rush_td,11.5,105,-130,DraftKings,fta
Kenneth Walker,SEA,rush_td,7.5,-105,-120,DraftKings,fta
David Montgomery,DET,rush_td,7.5,-102,-118,consensus,sharp
Jonathan Taylor,IND,rush_yd,1224.5,-110,-110,consensus,sharp
Bijan Robinson,ATL,rush_yd,1150.5,-110,-110,consensus,fantasypoints
James Cook,BUF,rush_yd,1200.5,-110,-110,consensus,fantasypoints
Derrick Henry,BAL,rush_yd,1237.5,-110,-110,consensus,fantasypoints
Jahmyr Gibbs,DET,rush_yd,1187.5,-110,-110,consensus,fantasypoints
Saquon Barkley,PHI,rush_yd,1050.5,-110,-110,DraftKings,fantasypoints
De'Von Achane,MIA,rush_yd,975.5,-110,-110,consensus,fantasypoints
David Montgomery,DET,rush_yd,750.5,-110,-110,consensus,fantasypoints
Javonte Williams,DAL,rush_yd,950.5,-110,-110,consensus,fantasypoints
Ashton Jeanty,LV,rush_yd,975.5,-110,-110,DraftKings,fantasypoints
Christian McCaffrey,SF,rush_yd,937.5,-110,-110,DraftKings,fantasypoints
Tony Pollard,TEN,rush_yd,775.5,-110,-110,consensus,fantasypoints
D'Andre Swift,CHI,rush_yd,762.5,-110,-110,consensus,fantasypoints
Travis Etienne,JAX,rush_yd,862.5,-110,-110,consensus,fantasypoints
Chase Brown,CIN,rush_yd,825.5,-110,-110,consensus,fantasypoints
Blake Corum,LAR,rush_yd,675.5,-110,-110,DraftKings,fantasypoints
DK Metcalf,PIT,rec_yd,824.5,-110,-110,DraftKings,fta
George Pickens,DAL,rec_yd,999.5,-110,-110,DraftKings,fta
Tetairoa McMillan,CAR,rec_td,6.5,-110,-115,DraftKings,fta
Trey McBride,ARI,rec_td,6.5,100,-125,DraftKings,fta
D.J. Moore,CHI,rec,59.5,-115,-105,consensus,sharp
