player_name,position,team,adp,implied_pick,model_fp,market_fp,steal_label,steal_score
Bijan Robinson,RB,ATL,1.7,1.8,306.4,309.9,fair,-1.0
Jahmyr Gibbs,RB,DET,1.8,1.7,338.9,307.3,fair,1.0
Puka Nacua,WR,LA,3.1,3.1,302.7,319.5,fair,0.0
Ja'Marr Chase,WR,CIN,3.9,3.9,289.8,307.8,fair,0.0
Jaxon Smith-Njigba,WR,SEA,5.4,6.3,277.7,291.3,fair,-1.0
Amon-Ra St. Brown,WR,DET,6.3,5.4,287.0,283.5,fair,1.0
Christian McCaffrey,RB,SF,6.5,6.5,291.9,248.5,fair,0.0
Jonathan Taylor,RB,IND,7.4,15.3,242.8,242.5,fade,-4.0
Drake London,WR,ATL,10.1,17.7,230.6,259.4,fade,-4.0
De'Von Achane,RB,MIA,10.2,29.0,229.9,227.8,fair,-8.0
CeeDee Lamb,WR,DAL,10.7,10.1,255.3,256.5,fair,1.0
Justin Jefferson,WR,MIN,11.8,10.7,234.8,251.5,fair,1.0
James Cook,RB,BUF,12.3,7.4,263.1,219.2,fair,2.0
Chase Brown,RB,CIN,13.7,12.3,250.5,214.3,fair,1.0
Rashee Rice,WR,KC,14.8,21.5,220.0,240.0,fade,-4.0
Ashton Jeanty,RB,LV,15.3,22.8,229.9,209.2,fair,-4.0
Derrick Henry,RB,BAL,17.6,10.2,252.1,202.8,fair,4.0
A.J. Brown,WR,NE,17.7,11.8,234.2,230.9,fair,2.0
George Pickens,WR,DAL,19.5,19.5,223.8,226.0,fair,0.0
Saquon Barkley,RB,PHI,20.3,13.7,243.9,196.3,fair,3.0
Nico Collins,WR,HOU,21.2,24.2,218.3,221.7,fair,-2.0
Chris Olave,WR,NO,21.5,28.7,211.4,221.0,fair,-4.0
Omarion Hampton,RB,LAC,21.8,20.3,235.9,193.0,fair,1.0
Kenneth Walker III,RB,KC,22.8,21.8,231.6,190.9,fair,1.0
Zay Flowers,WR,BAL,24.2,14.8,232.1,215.0,steal,5.0
Garrett Wilson,WR,NYJ,26.6,35.8,198.9,210.2,fair,-4.0
Malik Nabers,WR,NYG,27.2,27.2,214.7,209.1,fair,0.0
DeVonta Smith,WR,PHI,28.7,26.6,217.1,206.3,fair,2.0
Trey McBride,TE,AZ,28.9,28.9,232.1,188.9,fair,0.0
Jeremiyah Love,RB,AZ,29.0,57.6,187.8,179.9,fair,-11.0
Breece Hall,RB,NYJ,29.9,35.1,212.6,178.5,fair,-3.0
Josh Jacobs,RB,GB,31.6,31.7,220.2,176.0,fair,-1.0
Kyren Williams,RB,LA,31.7,29.9,228.3,175.8,fair,2.0
Josh Allen,QB,BUF,32.5,32.5,340.3,307.8,fair,0.0
Tetairoa McMillan,WR,CAR,33.3,41.3,197.7,198.8,fair,-4.0
Cam Skattebo,RB,NYG,35.1,42.3,204.6,171.2,fair,-2.0
Tee Higgins,WR,CIN,35.8,33.3,210.0,195.1,fair,1.0
Brock Bowers,TE,LV,36.0,36.0,213.7,179.4,fair,0.0
Emeka Egbuka,WR,TB,37.2,21.2,223.2,193.1,steal,8.0
Javonte Williams,RB,DAL,38.0,31.6,224.7,167.5,fair,3.0
Ladd McConkey,WR,LAC,38.0,43.7,197.2,192.0,fair,-2.0
Davante Adams,WR,LA,41.3,46.6,189.5,187.8,fair,-3.0
Travis Etienne,RB,NO,42.3,51.9,190.3,162.6,fair,-3.0
Jameson Williams,WR,DET,43.7,37.2,198.1,184.9,fair,3.0
Jaylen Waddle,WR,DEN,45.3,38.0,197.7,183.1,fair,3.0
Bucky Irving,RB,TB,45.9,54.3,189.9,158.9,fair,-3.0
D'Andre Swift,RB,CHI,46.3,38.0,208.4,158.5,fair,3.0
